Engine z axis,Engine radius,Channel width,Channel height,Fin width,Hydraulic diameter,Channel cross-sectionnal area,xA,yA,xB,yB,xC,yC,xD,yD
-200.0,55.0,2.5,3.0,2.8311875333644974,2.7272727272727284,7.500000000000007e-06,-1.25,56.0,1.25,56.0,1.25,59.00000000000001,-1.25,59.00000000000001
-199.3987975951904,55.0,2.5,3.0,2.8311875333644974,2.7272727272727284,7.500000000000007e-06,-1.25,56.0,1.25,56.0,1.25,59.00000000000001,-1.25,59.00000000000001
-198.79759519038075,55.0,2.5,3.0,2.8311875333644974,2.7272727272727284,7.500000000000007e-06,-1.25,56.0,1.25,56.0,1.25,59.00000000000001,-1.25,59.00000000000001
-198.19639278557116,55.0,2.5,3.0,2.8311875333644974,2.7272727272727284,7.500000000000007e-06,-1.25,56.0,1.25,56.0,1.25,59.00000000000001,-1.25,59.00000000000001
-197.59519038076155,55.0,2.5,3.0,2.8311875333644974,2.7272727272727284,7.500000000000007e-06,-1.25,56.0,1.25,56.0,1.25,59.00000000000001,-1.25,59.00000000000001
-196.9939879759519,55.0,2.5,3.0,2.8311875333644974,2.7272727272727284,7.500000000000007e-06,-1.25,56.0,1.25,56.0,1.25,59.00000000000001,-1.25,59.00000000000001
-196.3927855711423,55.0,2.5,3.0,2.8311875333644974,2.7272727272727284,7.500000000000007e-06,-1.25,56.0,1.25,56.0,1.25,59.00000000000001,-1.25,59.00000000000001
-195.79158316633269,55.0,2.5,3.0,2.8311875333644974,2.7272727272727284,7.500000000000007e-06,-1.25,56.0,1.25,56.0,1.25,59.00000000000001,-1.25,59.00000000000001
-195.19038076152307,55.0,2.5,3.0,2.8311875333644974,2.7272727272727284,7.500000000000007e-06,-1.25,56.0,1.25,56.0,1.25,59.00000000000001,-1.25,59.00000000000001
-194.58917835671343,55.0,2.5,3.0,2.8311875333644974,2.7272727272727284,7.500000000000007e-06,-1.25,56.0,1.25,56.0,1.25,59.00000000000001,-1.25,59.00000000000001
-193.98797595190382,55.0,2.5,3.0,2.8311875333644974,2.7272727272727284,7.500000000000007e-06,-1.25,56.0,1.25,56.0,1.25,59.00000000000001,-1.25,59.00000000000001
-193.38677354709418,55.0,2.5,3.0,2.8311875333644974,2.7272727272727284,7.500000000000007e-06,-1.25,56.0,1.25,56.0,1.25,59.00000000000001,-1.25,59.00000000000001
-192.7855711422846,55.0,2.5,3.0,2.8311875333644974,2.7272727272727284,7.500000000000007e-06,-1.25,56.0,1.25,56.0,1.25,59.00000000000001,-1.25,59.00000000000001
-192.18436873747495,55.0,2.5,3.0,2.8311875333644974,2.7272727272727284,7.500000000000007e-06,-1.25,56.0,1.25,56.0,1.25,59.00000000000001,-1.25,59.00000000000001
-191.58316633266534,55.0,2.5,3.0,2.8311875333644974,2.7272727272727284,7.500000000000007e-06,-1.25,56.0,1.25,56.0,1.25,59.00000000000001,-1.25,59.00000000000001
-190.9819639278557,55.0,2.5,3.0,2.8311875333644974,2.7272727272727284,7.500000000000007e-06,-1.25,56.0,1.25,56.0,1.25,59.00000000000001,-1.25,59.00000000000001
-190.38076152304612,55.0,2.5,3.0,2.8311875333644974,2.7272727272727284,7.500000000000007e-06,-1.25,56.0,1.25,56.0,1.25,59.00000000000001,-1.25,59.00000000000001
-189.77955911823648,55.0,2.5,3.0,2.8311875333644974,2.7272727272727284,7.500000000000007e-06,-1.25,56.0,1.25,56.0,1.25,59.00000000000001,-1.25,59.00000000000001
-189.17835671342687,55.0,2.5,3.0,2.8311875333644974,2.7272727272727284,7.500000000000007e-06,-1.25,56.0,1.25,56.0,1.25,59.00000000000001,-1.25,59.00000000000001
-188.57715430861725,55.0,2.5,3.0,2.8311875333644974,2.7272727272727284,7.500000000000007e-06,-1.25,56.0,1.25,56.0,1.25,59.00000000000001,-1.25,59.00000000000001
-187.9759519038076,55.0,2.5,3.0,2.8311875333644974,2.7272727272727284,7.500000000000007e-06,-1.25,56.0,1.25,56.0,1.25,59.00000000000001,-1.25,59.00000000000001
-187.37474949899803,55.0,2.5,3.0,2.8311875333644974,2.7272727272727284,7.500000000000007e-06,-1.25,56.0,1.25,56.0,1.25,59.00000000000001,-1.25,59.00000000000001
-186.7735470941884,55.0,2.5,3.0,2.8311875333644974,2.7272727272727284,7.500000000000007e-06,-1.25,56.0,1.25,56.0,1.25,59.00000000000001,-1.25,59.00000000000001
-186.17234468937878,55.0,2.5,3.0,2.8311875333644974,2.7272727272727284,7.500000000000007e-06,-1.25,56.0,1.25,56.0,1.25,59.00000000000001,-1.25,59.00000000000001
-185.57114228456913,55.0,2.5,3.0,2.8311875333644974,2.7272727272727284,7.500000000000007e-06,-1.25,56.0,1.25,56.0,1.25,59.00000000000001,-1.25,59.00000000000001
-184.96993987975952,55.0,2.5,3.0,2.8311875333644974,2.7272727272727284,7.500000000000007e-06,-1.25,56.0,1.25,56.0,1.25,59.00000000000001,-1.25,59.00000000000001
-184.3687374749499,55.0,2.5,3.0,2.8311875333644974,2.7272727272727284,7.500000000000007e-06,-1.25,56.0,1.25,56.0,1.25,59.00000000000001,-1.25,59.00000000000001
-183.7675350701403,55.0,2.5,3.0,2.8311875333644974,2.7272727272727284,7.500000000000007e-06,-1.25,56.0,1.25,56.0,1.25,59.00000000000001,-1.25,59.00000000000001
-183.16633266533066,55.0,2.5,3.0,2.8311875333644974,2.7272727272727284,7.500000000000007e-06,-1.25,56.0,1.25,56.0,1.25,59.00000000000001,-1.25,59.00000000000001
-182.56513026052104,55.0,2.5,3.0,2.8311875333644974,2.7272727272727284,7.500000000000007e-06,-1.25,56.0,1.25,56.0,1.25,59.00000000000001,-1.25,59.00000000000001
-181.9639278557114,55.0,2.5,3.0,2.8311875333644974,2.7272727272727284,7.500000000000007e-06,-1.25,56.0,1.25,56.0,1.25,59.00000000000001,-1.25,59.00000000000001
-181.36272545090182,55.0,2.5,3.0,2.8311875333644974,2.7272727272727284,7.500000000000007e-06,-1.25,56.0,1.25,56.0,1.25,59.00000000000001,-1.25,59.00000000000001
-180.76152304609218,55.0,2.5,3.0,2.8311875333644974,2.7272727272727284,7.500000000000007e-06,-1.25,56.0,1.25,56.0,1.25,59.00000000000001,-1.25,59.00000000000001
-180.16032064128257,55.0,2.5,3.0,2.8311875333644974,2.7272727272727284,7.500000000000007e-06,-1.25,56.0,1.25,56.0,1.25,59.00000000000001,-1.25,59.00000000000001
-179.55911823647298,55.0,2.5,3.0,2.8311875333644974,2.7272727272727284,7.500000000000007e-06,-1.25,56.0,1.25,56.0,1.25,59.00000000000001,-1.25,59.00000000000001
-178.95791583166334,55.0,2.5,3.0,2.8311875333644974,2.7272727272727284,7.500000000000007e-06,-1.25,56.0,1.25,56.0,1.25,59.00000000000001,-1.25,59.00000000000001
-178.35671342685373,55.0,2.5,3.0,2.8311875333644974,2.7272727272727284,7.500000000000007e-06,-1.25,56.0,1.25,56.0,1.25,59.00000000000001,-1.25,59.00000000000001
-177.7555110220441,55.0,2.5,3.0,2.8311875333644974,2.7272727272727284,7.500000000000007e-06,-1.25,56.0,1.25,56.0,1.25,59.00000000000001,-1.25,59.00000000000001
-177.15430861723448,55.0,2.5,3.0,2.8311875333644974,2.7272727272727284,7.500000000000007e-06,-1.25,56.0,1.25,56.0,1.25,59.00000000000001,-1.25,59.00000000000001
